Perplexity = 117.11, Entropy = 6.87 bits
Perplexity = 79.95, Entropy = 6.32 bits
Perplexity = 119.48, Entropy = 6.90 bits
Perplexity = 85.66, Entropy = 6.42 bits
Perplexity = 173.03, Entropy = 7.43 bits
Perplexity = 132.35, Entropy = 7.05 bits
Perplexity = 229.48, Entropy = 7.84 bits
Perplexity = 132.27, Entropy = 7.05 bits
Perplexity = 115.87, Entropy = 6.86 bits
Perplexity = 124.90, Entropy = 6.96 bits
Perplexity = 113.99, Entropy = 6.83 bits
Perplexity = 133.48, Entropy = 7.06 bits
Perplexity = 93.01, Entropy = 6.54 bits
Perplexity = 136.44, Entropy = 7.09 bits
Perplexity = 144.87, Entropy = 7.18 bits
Perplexity = 152.39, Entropy = 7.25 bits
Perplexity = 175.83, Entropy = 7.46 bits
Perplexity = 120.44, Entropy = 6.91 bits
Perplexity = 100.00, Entropy = 6.64 bits
Perplexity = 151.21, Entropy = 7.24 bits
Perplexity = 114.62, Entropy = 6.84 bits
Perplexity = 138.88, Entropy = 7.12 bits
Perplexity = 160.24, Entropy = 7.32 bits
Perplexity = 153.53, Entropy = 7.26 bits
Perplexity = 99.76, Entropy = 6.64 bits
Perplexity = 207.29, Entropy = 7.70 bits
Perplexity = 182.47, Entropy = 7.51 bits
Perplexity = 152.96, Entropy = 7.26 bits
Perplexity = 115.77, Entropy = 6.86 bits
Perplexity = 173.00, Entropy = 7.43 bits
Perplexity = 119.67, Entropy = 6.90 bits
Perplexity = 127.00, Entropy = 6.99 bits
Perplexity = 125.03, Entropy = 6.97 bits
Perplexity = 163.25, Entropy = 7.35 bits
Perplexity = 126.75, Entropy = 6.99 bits
Perplexity = 124.88, Entropy = 6.96 bits
Perplexity = 113.40, Entropy = 6.83 bits
Perplexity = 92.40, Entropy = 6.53 bits
Perplexity = 137.92, Entropy = 7.11 bits
Perplexity = 99.92, Entropy = 6.64 bits
Perplexity = 54.63, Entropy = 5.77 bits
Perplexity = 111.12, Entropy = 6.80 bits
Perplexity = 132.65, Entropy = 7.05 bits
Perplexity = 100.42, Entropy = 6.65 bits
Perplexity = 128.34, Entropy = 7.00 bits
Perplexity = 147.26, Entropy = 7.20 bits
Perplexity = 164.57, Entropy = 7.36 bits
Perplexity = 121.76, Entropy = 6.93 bits
Perplexity = 218.20, Entropy = 7.77 bits
Perplexity = 118.50, Entropy = 6.89 bits
Perplexity = 116.70, Entropy = 6.87 bits
Perplexity = 149.78, Entropy = 7.23 bits
Perplexity = 126.41, Entropy = 6.98 bits
Perplexity = 125.41, Entropy = 6.97 bits
Perplexity = 118.79, Entropy = 6.89 bits
Perplexity = 81.98, Entropy = 6.36 bits
Perplexity = 111.85, Entropy = 6.81 bits
Perplexity = 86.46, Entropy = 6.43 bits
Perplexity = 115.84, Entropy = 6.86 bits
Perplexity = 110.54, Entropy = 6.79 bits
Perplexity = 108.66, Entropy = 6.76 bits
Perplexity = 151.31, Entropy = 7.24 bits
Perplexity = 147.19, Entropy = 7.20 bits
Perplexity = 145.19, Entropy = 7.18 bits
Perplexity = 106.74, Entropy = 6.74 bits
Perplexity = 109.13, Entropy = 6.77 bits
Perplexity = 92.29, Entropy = 6.53 bits
Perplexity = 176.10, Entropy = 7.46 bits
Perplexity = 134.00, Entropy = 7.07 bits
Perplexity = 241.44, Entropy = 7.92 bits
Perplexity = 113.99, Entropy = 6.83 bits
Perplexity = 120.78, Entropy = 6.92 bits
Perplexity = 127.75, Entropy = 7.00 bits
Perplexity = 111.92, Entropy = 6.81 bits
Perplexity = 155.88, Entropy = 7.28 bits
Perplexity = 105.53, Entropy = 6.72 bits
Perplexity = 102.90, Entropy = 6.69 bits
Perplexity = 129.08, Entropy = 7.01 bits
Perplexity = 123.03, Entropy = 6.94 bits
Perplexity = 150.93, Entropy = 7.24 bits
Perplexity = 164.53, Entropy = 7.36 bits
Perplexity = 126.21, Entropy = 6.98 bits
Perplexity = 113.85, Entropy = 6.83 bits
Perplexity = 107.02, Entropy = 6.74 bits
Perplexity = 135.85, Entropy = 7.09 bits
Perplexity = 120.08, Entropy = 6.91 bits
Perplexity = 115.62, Entropy = 6.85 bits
Perplexity = 195.73, Entropy = 7.61 bits
Perplexity = 80.49, Entropy = 6.33 bits
Perplexity = 133.76, Entropy = 7.06 bits
Perplexity = 124.54, Entropy = 6.96 bits
Perplexity = 118.91, Entropy = 6.89 bits
Perplexity = 119.80, Entropy = 6.90 bits
Perplexity = 135.88, Entropy = 7.09 bits
Perplexity = 109.16, Entropy = 6.77 bits
Perplexity = 125.72, Entropy = 6.97 bits
Perplexity = 114.09, Entropy = 6.83 bits
Perplexity = 82.04, Entropy = 6.36 bits
Perplexity = 111.83, Entropy = 6.81 bits
Perplexity = 164.64, Entropy = 7.36 bits
Perplexity = 131.49, Entropy = 7.04 bits
Perplexity = 128.85, Entropy = 7.01 bits
Perplexity = 153.79, Entropy = 7.26 bits
Perplexity = 159.62, Entropy = 7.32 bits
Perplexity = 86.07, Entropy = 6.43 bits
Perplexity = 129.27, Entropy = 7.01 bits
Perplexity = 218.60, Entropy = 7.77 bits
Perplexity = 123.58, Entropy = 6.95 bits
Perplexity = 98.09, Entropy = 6.62 bits
Perplexity = 115.21, Entropy = 6.85 bits
Perplexity = 138.35, Entropy = 7.11 bits
Perplexity = 121.55, Entropy = 6.93 bits
Perplexity = 178.30, Entropy = 7.48 bits
Perplexity = 83.52, Entropy = 6.38 bits
Perplexity = 131.06, Entropy = 7.03 bits
Perplexity = 113.52, Entropy = 6.83 bits
Perplexity = 81.17, Entropy = 6.34 bits
Perplexity = 140.07, Entropy = 7.13 bits
Perplexity = 99.68, Entropy = 6.64 bits
Perplexity = 137.07, Entropy = 7.10 bits
Perplexity = 109.66, Entropy = 6.78 bits
Perplexity = 119.59, Entropy = 6.90 bits
Perplexity = 76.41, Entropy = 6.26 bits
Perplexity = 131.49, Entropy = 7.04 bits
Perplexity = 92.41, Entropy = 6.53 bits
Perplexity = 124.10, Entropy = 6.96 bits
Perplexity = 85.61, Entropy = 6.42 bits
Perplexity = 132.93, Entropy = 7.05 bits
Perplexity = 171.52, Entropy = 7.42 bits
Perplexity = 117.59, Entropy = 6.88 bits
Perplexity = 107.68, Entropy = 6.75 bits
Perplexity = 128.87, Entropy = 7.01 bits
Perplexity = 115.83, Entropy = 6.86 bits
Perplexity = 79.37, Entropy = 6.31 bits
Perplexity = 119.34, Entropy = 6.90 bits
Perplexity = 160.56, Entropy = 7.33 bits
Perplexity = 104.89, Entropy = 6.71 bits
Perplexity = 93.21, Entropy = 6.54 bits
Perplexity = 109.44, Entropy = 6.77 bits
Perplexity = 111.02, Entropy = 6.79 bits
Perplexity = 169.66, Entropy = 7.41 bits
Perplexity = 159.52, Entropy = 7.32 bits
Perplexity = 139.21, Entropy = 7.12 bits
Perplexity = 125.23, Entropy = 6.97 bits
Perplexity = 189.94, Entropy = 7.57 bits
Perplexity = 134.51, Entropy = 7.07 bits
Perplexity = 101.37, Entropy = 6.66 bits
Perplexity = 161.04, Entropy = 7.33 bits
Perplexity = 143.65, Entropy = 7.17 bits
Perplexity = 141.79, Entropy = 7.15 bits
Perplexity = 111.02, Entropy = 6.79 bits
Perplexity = 108.31, Entropy = 6.76 bits
Perplexity = 118.51, Entropy = 6.89 bits
Perplexity = 105.15, Entropy = 6.72 bits
Perplexity = 108.18, Entropy = 6.76 bits
Perplexity = 134.90, Entropy = 7.08 bits
Perplexity = 48.89, Entropy = 5.61 bits
Perplexity = 203.34, Entropy = 7.67 bits
Perplexity = 145.44, Entropy = 7.18 bits
Perplexity = 58.77, Entropy = 5.88 bits
Perplexity = 143.18, Entropy = 7.16 bits
Perplexity = 174.05, Entropy = 7.44 bits
Perplexity = 126.83, Entropy = 6.99 bits
Perplexity = 117.55, Entropy = 6.88 bits
Perplexity = 106.23, Entropy = 6.73 bits
Perplexity = 193.11, Entropy = 7.59 bits
Perplexity = 122.82, Entropy = 6.94 bits
Perplexity = 122.55, Entropy = 6.94 bits
Perplexity = 111.38, Entropy = 6.80 bits
Perplexity = 123.61, Entropy = 6.95 bits
Perplexity = 179.42, Entropy = 7.49 bits
Perplexity = 161.91, Entropy = 7.34 bits
Perplexity = 127.57, Entropy = 7.00 bits
Perplexity = 154.93, Entropy = 7.28 bits
Perplexity = 126.84, Entropy = 6.99 bits
Perplexity = 119.55, Entropy = 6.90 bits
Perplexity = 157.70, Entropy = 7.30 bits
Perplexity = 143.93, Entropy = 7.17 bits
Perplexity = 96.75, Entropy = 6.60 bits
Perplexity = 109.78, Entropy = 6.78 bits
Perplexity = 115.19, Entropy = 6.85 bits
Perplexity = 89.96, Entropy = 6.49 bits
Perplexity = 93.24, Entropy = 6.54 bits
Perplexity = 123.74, Entropy = 6.95 bits
Perplexity = 128.72, Entropy = 7.01 bits
Perplexity = 116.76, Entropy = 6.87 bits
Perplexity = 96.53, Entropy = 6.59 bits
Perplexity = 123.84, Entropy = 6.95 bits
Perplexity = 134.51, Entropy = 7.07 bits
Perplexity = 147.23, Entropy = 7.20 bits
Perplexity = 137.17, Entropy = 7.10 bits
Perplexity = 121.51, Entropy = 6.92 bits
Perplexity = 139.54, Entropy = 7.12 bits
Perplexity = 102.63, Entropy = 6.68 bits
Perplexity = 116.61, Entropy = 6.87 bits
Perplexity = 114.22, Entropy = 6.84 bits
Perplexity = 101.68, Entropy = 6.67 bits
Perplexity = 110.74, Entropy = 6.79 bits
Perplexity = 119.52, Entropy = 6.90 bits
Perplexity = 91.17, Entropy = 6.51 bits
Perplexity = 142.95, Entropy = 7.16 bits
Perplexity = 170.95, Entropy = 7.42 bits
Perplexity = 115.00, Entropy = 6.85 bits
Perplexity = 86.79, Entropy = 6.44 bits
Perplexity = 92.28, Entropy = 6.53 bits
Perplexity = 121.83, Entropy = 6.93 bits
Perplexity = 158.51, Entropy = 7.31 bits
Perplexity = 137.35, Entropy = 7.10 bits
Perplexity = 111.82, Entropy = 6.81 bits
Perplexity = 41.34, Entropy = 5.37 bits
Perplexity = 118.32, Entropy = 6.89 bits
Perplexity = 122.98, Entropy = 6.94 bits
Perplexity = 108.22, Entropy = 6.76 bits
Perplexity = 128.32, Entropy = 7.00 bits
Perplexity = 193.97, Entropy = 7.60 bits
