Perplexity = 471.87, Entropy = 8.88 bits
Perplexity = 54.33, Entropy = 5.76 bits
Perplexity = 29.84, Entropy = 4.90 bits
Perplexity = 102.52, Entropy = 6.68 bits
Perplexity = 188.98, Entropy = 7.56 bits
Perplexity = 249.49, Entropy = 7.96 bits
Perplexity = 298.11, Entropy = 8.22 bits
Perplexity = 142.58, Entropy = 7.16 bits
Perplexity = 368.81, Entropy = 8.53 bits
Perplexity = 45.81, Entropy = 5.52 bits
Perplexity = 31.73, Entropy = 4.99 bits
Perplexity = 57.16, Entropy = 5.84 bits
Perplexity = 52.35, Entropy = 5.71 bits
Perplexity = 51.99, Entropy = 5.70 bits
Perplexity = 118.89, Entropy = 6.89 bits
Perplexity = 91.91, Entropy = 6.52 bits
Perplexity = 119.34, Entropy = 6.90 bits
Perplexity = 47.30, Entropy = 5.56 bits
Perplexity = 123.56, Entropy = 6.95 bits
Perplexity = 105.75, Entropy = 6.72 bits
Perplexity = 113.69, Entropy = 6.83 bits
Perplexity = 200.84, Entropy = 7.65 bits
Perplexity = 316.22, Entropy = 8.30 bits
Perplexity = 165.15, Entropy = 7.37 bits
Perplexity = 108.28, Entropy = 6.76 bits
Perplexity = 86.69, Entropy = 6.44 bits
Perplexity = 38.33, Entropy = 5.26 bits
Perplexity = 58.93, Entropy = 5.88 bits
Perplexity = 71.67, Entropy = 6.16 bits
Perplexity = 87.74, Entropy = 6.46 bits
Perplexity = 41.98, Entropy = 5.39 bits
Perplexity = 295.50, Entropy = 8.21 bits
Perplexity = 70.05, Entropy = 6.13 bits
Perplexity = 66.39, Entropy = 6.05 bits
Perplexity = 95.24, Entropy = 6.57 bits
Perplexity = 167.49, Entropy = 7.39 bits
Perplexity = 134.02, Entropy = 7.07 bits
Perplexity = 76.62, Entropy = 6.26 bits
Perplexity = 14.07, Entropy = 3.81 bits
Perplexity = 51.39, Entropy = 5.68 bits
Perplexity = 63.27, Entropy = 5.98 bits
Perplexity = 71.99, Entropy = 6.17 bits
Perplexity = 61.52, Entropy = 5.94 bits
Perplexity = 291.04, Entropy = 8.19 bits
Perplexity = 60.74, Entropy = 5.92 bits
Perplexity = 235.45, Entropy = 7.88 bits
Perplexity = 201.58, Entropy = 7.66 bits
Perplexity = 107.40, Entropy = 6.75 bits
Perplexity = 206.37, Entropy = 7.69 bits
Perplexity = 153.25, Entropy = 7.26 bits
Perplexity = 75.08, Entropy = 6.23 bits
Perplexity = 164.99, Entropy = 7.37 bits
Perplexity = 79.24, Entropy = 6.31 bits
Perplexity = 146.25, Entropy = 7.19 bits
Perplexity = 76.14, Entropy = 6.25 bits
Perplexity = 188.22, Entropy = 7.56 bits
Perplexity = 97.42, Entropy = 6.61 bits
Perplexity = 128.37, Entropy = 7.00 bits
Perplexity = 693.63, Entropy = 9.44 bits
Perplexity = 94.46, Entropy = 6.56 bits
Perplexity = 87.40, Entropy = 6.45 bits
Perplexity = 98.31, Entropy = 6.62 bits
Perplexity = 171.24, Entropy = 7.42 bits
Perplexity = 118.95, Entropy = 6.89 bits
Perplexity = 7.20, Entropy = 2.85 bits
Perplexity = 60.12, Entropy = 5.91 bits
Perplexity = 149.32, Entropy = 7.22 bits
Perplexity = 153.02, Entropy = 7.26 bits
Perplexity = 208.98, Entropy = 7.71 bits
Perplexity = 90.59, Entropy = 6.50 bits
Perplexity = 175.05, Entropy = 7.45 bits
Perplexity = 132.47, Entropy = 7.05 bits
Perplexity = 39.77, Entropy = 5.31 bits
Perplexity = 38.73, Entropy = 5.28 bits
Perplexity = 132.54, Entropy = 7.05 bits
Perplexity = 27.28, Entropy = 4.77 bits
Perplexity = 51.59, Entropy = 5.69 bits
Perplexity = 118.85, Entropy = 6.89 bits
Perplexity = 51.24, Entropy = 5.68 bits
Perplexity = 81.80, Entropy = 6.35 bits
Perplexity = 168.85, Entropy = 7.40 bits
Perplexity = 331.43, Entropy = 8.37 bits
Perplexity = 67.54, Entropy = 6.08 bits
Perplexity = 91.28, Entropy = 6.51 bits
Perplexity = 210.24, Entropy = 7.72 bits
Perplexity = 96.75, Entropy = 6.60 bits
Perplexity = 104.33, Entropy = 6.71 bits
Perplexity = 94.09, Entropy = 6.56 bits
Perplexity = 100.50, Entropy = 6.65 bits
Perplexity = 162.23, Entropy = 7.34 bits
Perplexity = 113.69, Entropy = 6.83 bits
Perplexity = 100.95, Entropy = 6.66 bits
Perplexity = 156.53, Entropy = 7.29 bits
Perplexity = 181.28, Entropy = 7.50 bits
Perplexity = 17.25, Entropy = 4.11 bits
Perplexity = 138.20, Entropy = 7.11 bits
Perplexity = 315.33, Entropy = 8.30 bits
Perplexity = 43.70, Entropy = 5.45 bits
Perplexity = 287.84, Entropy = 8.17 bits
Perplexity = 164.81, Entropy = 7.36 bits
Perplexity = 80.29, Entropy = 6.33 bits
Perplexity = 91.24, Entropy = 6.51 bits
Perplexity = 132.71, Entropy = 7.05 bits
Perplexity = 105.40, Entropy = 6.72 bits
Perplexity = 265.06, Entropy = 8.05 bits
Perplexity = 110.44, Entropy = 6.79 bits
Perplexity = 59.66, Entropy = 5.90 bits
Perplexity = 89.04, Entropy = 6.48 bits
Perplexity = 47.22, Entropy = 5.56 bits
Perplexity = 155.96, Entropy = 7.28 bits
Perplexity = 108.29, Entropy = 6.76 bits
Perplexity = 81.18, Entropy = 6.34 bits
Perplexity = 84.18, Entropy = 6.40 bits
Perplexity = 161.83, Entropy = 7.34 bits
Perplexity = 166.71, Entropy = 7.38 bits
Perplexity = 54.67, Entropy = 5.77 bits
Perplexity = 182.63, Entropy = 7.51 bits
Perplexity = 58.28, Entropy = 5.86 bits
Perplexity = 106.87, Entropy = 6.74 bits
Perplexity = 127.66, Entropy = 7.00 bits
Perplexity = 111.37, Entropy = 6.80 bits
Perplexity = 244.06, Entropy = 7.93 bits
Perplexity = 59.43, Entropy = 5.89 bits
Perplexity = 46.40, Entropy = 5.54 bits
Perplexity = 87.55, Entropy = 6.45 bits
Perplexity = 70.90, Entropy = 6.15 bits
