Perplexity = 98.42, Entropy = 6.62 bits
Perplexity = 93.54, Entropy = 6.55 bits
Perplexity = 111.69, Entropy = 6.80 bits
Perplexity = 87.32, Entropy = 6.45 bits
Perplexity = 176.50, Entropy = 7.46 bits
Perplexity = 120.73, Entropy = 6.92 bits
Perplexity = 403.09, Entropy = 8.65 bits
Perplexity = 140.79, Entropy = 7.14 bits
Perplexity = 190.06, Entropy = 7.57 bits
Perplexity = 106.20, Entropy = 6.73 bits
Perplexity = 123.19, Entropy = 6.94 bits
Perplexity = 163.23, Entropy = 7.35 bits
Perplexity = 69.75, Entropy = 6.12 bits
Perplexity = 163.48, Entropy = 7.35 bits
Perplexity = 146.58, Entropy = 7.20 bits
Perplexity = 125.02, Entropy = 6.97 bits
Perplexity = 193.20, Entropy = 7.59 bits
Perplexity = 142.82, Entropy = 7.16 bits
Perplexity = 100.33, Entropy = 6.65 bits
Perplexity = 143.27, Entropy = 7.16 bits
Perplexity = 118.36, Entropy = 6.89 bits
Perplexity = 190.44, Entropy = 7.57 bits
Perplexity = 169.36, Entropy = 7.40 bits
Perplexity = 187.91, Entropy = 7.55 bits
Perplexity = 110.85, Entropy = 6.79 bits
Perplexity = 217.67, Entropy = 7.77 bits
Perplexity = 193.77, Entropy = 7.60 bits
Perplexity = 235.48, Entropy = 7.88 bits
Perplexity = 125.80, Entropy = 6.97 bits
Perplexity = 174.63, Entropy = 7.45 bits
Perplexity = 114.00, Entropy = 6.83 bits
Perplexity = 143.95, Entropy = 7.17 bits
Perplexity = 161.15, Entropy = 7.33 bits
Perplexity = 208.34, Entropy = 7.70 bits
Perplexity = 113.66, Entropy = 6.83 bits
Perplexity = 143.65, Entropy = 7.17 bits
Perplexity = 128.80, Entropy = 7.01 bits
Perplexity = 124.94, Entropy = 6.97 bits
Perplexity = 162.91, Entropy = 7.35 bits
Perplexity = 118.19, Entropy = 6.88 bits
Perplexity = 67.39, Entropy = 6.07 bits
Perplexity = 93.14, Entropy = 6.54 bits
Perplexity = 120.79, Entropy = 6.92 bits
Perplexity = 120.92, Entropy = 6.92 bits
Perplexity = 143.09, Entropy = 7.16 bits
Perplexity = 146.44, Entropy = 7.19 bits
Perplexity = 192.73, Entropy = 7.59 bits
