Perplexity = 121.94, Entropy = 6.93 bits
Perplexity = 1696.77, Entropy = 10.73 bits
Perplexity = 272.25, Entropy = 8.09 bits
Perplexity = 235.05, Entropy = 7.88 bits
Perplexity = 479.48, Entropy = 8.91 bits
Perplexity = 112.46, Entropy = 6.81 bits
Perplexity = 373.64, Entropy = 8.55 bits
Perplexity = 119.19, Entropy = 6.90 bits
Perplexity = 207.78, Entropy = 7.70 bits
Perplexity = 677.29, Entropy = 9.40 bits
Perplexity = 285.11, Entropy = 8.16 bits
Perplexity = nan, Entropy = nan bits
Perplexity = 150.49, Entropy = 7.23 bits
Perplexity = 195.84, Entropy = 7.61 bits
Perplexity = 138.96, Entropy = 7.12 bits
Perplexity = 336.11, Entropy = 8.39 bits
Perplexity = 242.88, Entropy = 7.92 bits
Perplexity = 65.03, Entropy = 6.02 bits
Perplexity = 135.50, Entropy = 7.08 bits
Perplexity = 185.20, Entropy = 7.53 bits
Perplexity = 212.98, Entropy = 7.73 bits
Perplexity = 538.41, Entropy = 9.07 bits
Perplexity = 227.58, Entropy = 7.83 bits
Perplexity = 247.05, Entropy = 7.95 bits
Perplexity = 622.14, Entropy = 9.28 bits
Perplexity = 184.96, Entropy = 7.53 bits
Perplexity = 137.86, Entropy = 7.11 bits
Perplexity = 275.56, Entropy = 8.11 bits
Perplexity = 167.24, Entropy = 7.39 bits
Perplexity = 292.52, Entropy = 8.19 bits
Perplexity = 51.37, Entropy = 5.68 bits
Perplexity = 298.13, Entropy = 8.22 bits
Perplexity = 240.08, Entropy = 7.91 bits
Perplexity = 714.87, Entropy = 9.48 bits
Perplexity = 311.45, Entropy = 8.28 bits
Perplexity = 162.73, Entropy = 7.35 bits
Perplexity = 232.43, Entropy = 7.86 bits
Perplexity = 229.31, Entropy = 7.84 bits
Perplexity = 202.65, Entropy = 7.66 bits
Perplexity = 299.77, Entropy = 8.23 bits
Perplexity = 212.62, Entropy = 7.73 bits
Perplexity = 134.81, Entropy = 7.07 bits
Perplexity = 297.30, Entropy = 8.22 bits
Perplexity = 45.76, Entropy = 5.52 bits
Perplexity = 146.98, Entropy = 7.20 bits
Perplexity = 108.97, Entropy = 6.77 bits
Perplexity = 158.84, Entropy = 7.31 bits
Perplexity = 210.89, Entropy = 7.72 bits
Perplexity = 242.14, Entropy = 7.92 bits
Perplexity = 152.68, Entropy = 7.25 bits
Perplexity = 363.81, Entropy = 8.51 bits
Perplexity = 212.47, Entropy = 7.73 bits
Perplexity = 44.06, Entropy = 5.46 bits
Perplexity = 90.72, Entropy = 6.50 bits
Perplexity = 329.77, Entropy = 8.37 bits
Perplexity = 796.25, Entropy = 9.64 bits
Perplexity = 163.75, Entropy = 7.36 bits
Perplexity = 132.45, Entropy = 7.05 bits
Perplexity = 143.70, Entropy = 7.17 bits
Perplexity = 268.24, Entropy = 8.07 bits
Perplexity = 24.07, Entropy = 4.59 bits
Perplexity = 13045.18, Entropy = 13.67 bits
