Perplexity = 359.56, Entropy = 8.49 bits
Perplexity = 87.51, Entropy = 6.45 bits
Perplexity = 35.58, Entropy = 5.15 bits
Perplexity = 137.62, Entropy = 7.10 bits
Perplexity = 188.34, Entropy = 7.56 bits
Perplexity = 552.67, Entropy = 9.11 bits
Perplexity = 884.71, Entropy = 9.79 bits
Perplexity = 163.62, Entropy = 7.35 bits
Perplexity = 471.12, Entropy = 8.88 bits
Perplexity = 68.97, Entropy = 6.11 bits
Perplexity = 29.68, Entropy = 4.89 bits
Perplexity = 70.85, Entropy = 6.15 bits
Perplexity = 37.42, Entropy = 5.23 bits
Perplexity = 58.43, Entropy = 5.87 bits
Perplexity = 109.24, Entropy = 6.77 bits
Perplexity = 56.38, Entropy = 5.82 bits
Perplexity = 116.26, Entropy = 6.86 bits
Perplexity = 63.79, Entropy = 6.00 bits
Perplexity = 62.59, Entropy = 5.97 bits
Perplexity = 64.69, Entropy = 6.02 bits
Perplexity = 124.80, Entropy = 6.96 bits
Perplexity = 178.67, Entropy = 7.48 bits
Perplexity = 210.35, Entropy = 7.72 bits
Perplexity = 272.40, Entropy = 8.09 bits
Perplexity = 138.84, Entropy = 7.12 bits
Perplexity = 115.65, Entropy = 6.85 bits
Perplexity = 31.81, Entropy = 4.99 bits
Perplexity = 91.65, Entropy = 6.52 bits
Perplexity = 85.08, Entropy = 6.41 bits
Perplexity = 86.52, Entropy = 6.43 bits
Perplexity = 33.82, Entropy = 5.08 bits
Perplexity = 449.43, Entropy = 8.81 bits
Perplexity = 87.73, Entropy = 6.46 bits
Perplexity = 71.46, Entropy = 6.16 bits
Perplexity = 72.31, Entropy = 6.18 bits
Perplexity = 186.28, Entropy = 7.54 bits
Perplexity = 107.69, Entropy = 6.75 bits
Perplexity = 538.37, Entropy = 9.07 bits
Perplexity = 12.20, Entropy = 3.61 bits
Perplexity = 67.24, Entropy = 6.07 bits
Perplexity = 49.59, Entropy = 5.63 bits
Perplexity = 98.91, Entropy = 6.63 bits
Perplexity = 68.22, Entropy = 6.09 bits
Perplexity = 349.84, Entropy = 8.45 bits
Perplexity = 71.61, Entropy = 6.16 bits
Perplexity = 341.19, Entropy = 8.41 bits
Perplexity = 205.03, Entropy = 7.68 bits
Perplexity = 166.92, Entropy = 7.38 bits
Perplexity = 259.28, Entropy = 8.02 bits
