Perplexity = 631.71, Entropy = 9.30 bits,docLen = 28
Perplexity = 63.34, Entropy = 5.99 bits,docLen = 27
Perplexity = 36.58, Entropy = 5.19 bits,docLen = 16
Perplexity = 90.81, Entropy = 6.50 bits,docLen = 24
Perplexity = 202.77, Entropy = 7.66 bits,docLen = 19
Perplexity = 532.94, Entropy = 9.06 bits,docLen = 8
Perplexity = 616.85, Entropy = 9.27 bits,docLen = 9
Perplexity = 151.84, Entropy = 7.25 bits,docLen = 26
Perplexity = 401.40, Entropy = 8.65 bits,docLen = 17
Perplexity = 56.11, Entropy = 5.81 bits,docLen = 12
Perplexity = 39.79, Entropy = 5.31 bits,docLen = 8
Perplexity = 61.26, Entropy = 5.94 bits,docLen = 47
Perplexity = 54.56, Entropy = 5.77 bits,docLen = 27
Perplexity = 52.78, Entropy = 5.72 bits,docLen = 31
Perplexity = 142.09, Entropy = 7.15 bits,docLen = 23
Perplexity = 56.13, Entropy = 5.81 bits,docLen = 4
Perplexity = 154.21, Entropy = 7.27 bits,docLen = 22
Perplexity = 52.78, Entropy = 5.72 bits,docLen = 12
Perplexity = 96.31, Entropy = 6.59 bits,docLen = 24
Perplexity = 65.29, Entropy = 6.03 bits,docLen = 52
Perplexity = 129.12, Entropy = 7.01 bits,docLen = 19
Perplexity = 145.84, Entropy = 7.19 bits,docLen = 13
Perplexity = 231.26, Entropy = 7.85 bits,docLen = 30
Perplexity = 229.41, Entropy = 7.84 bits,docLen = 11
Perplexity = 118.42, Entropy = 6.89 bits,docLen = 23
Perplexity = 108.18, Entropy = 6.76 bits,docLen = 35
Perplexity = 43.11, Entropy = 5.43 bits,docLen = 25
Perplexity = 78.03, Entropy = 6.29 bits,docLen = 10
Perplexity = 76.93, Entropy = 6.27 bits,docLen = 30
Perplexity = 92.85, Entropy = 6.54 bits,docLen = 26
Perplexity = 52.61, Entropy = 5.72 bits,docLen = 12
Perplexity = 475.99, Entropy = 8.89 bits,docLen = 16
Perplexity = 82.23, Entropy = 6.36 bits,docLen = 20
Perplexity = 72.70, Entropy = 6.18 bits,docLen = 18
Perplexity = 107.16, Entropy = 6.74 bits,docLen = 31
Perplexity = 181.53, Entropy = 7.50 bits,docLen = 77
Perplexity = 149.82, Entropy = 7.23 bits,docLen = 25
Perplexity = 99.81, Entropy = 6.64 bits,docLen = 14
Perplexity = 15.12, Entropy = 3.92 bits,docLen = 22
Perplexity = 56.63, Entropy = 5.82 bits,docLen = 22
Perplexity = 74.77, Entropy = 6.22 bits,docLen = 32
Perplexity = 98.96, Entropy = 6.63 bits,docLen = 19
Perplexity = 70.14, Entropy = 6.13 bits,docLen = 48
Perplexity = 274.95, Entropy = 8.10 bits,docLen = 39
Perplexity = 64.94, Entropy = 6.02 bits,docLen = 59
Perplexity = 359.25, Entropy = 8.49 bits,docLen = 23
Perplexity = 245.91, Entropy = 7.94 bits,docLen = 63
Perplexity = 124.78, Entropy = 6.96 bits,docLen = 59
Perplexity = 257.84, Entropy = 8.01 bits,docLen = 35
Perplexity = 174.58, Entropy = 7.45 bits,docLen = 76
Perplexity = 92.58, Entropy = 6.53 bits,docLen = 32
Perplexity = 256.50, Entropy = 8.00 bits,docLen = 22
Perplexity = 85.11, Entropy = 6.41 bits,docLen = 52
Perplexity = 109.67, Entropy = 6.78 bits,docLen = 50
Perplexity = 84.32, Entropy = 6.40 bits,docLen = 44
Perplexity = 242.81, Entropy = 7.92 bits,docLen = 40
Perplexity = 104.27, Entropy = 6.70 bits,docLen = 44
Perplexity = 215.45, Entropy = 7.75 bits,docLen = 16
Perplexity = 672.80, Entropy = 9.39 bits,docLen = 39
Perplexity = 111.53, Entropy = 6.80 bits,docLen = 45
Perplexity = 110.15, Entropy = 6.78 bits,docLen = 46
Perplexity = 106.67, Entropy = 6.74 bits,docLen = 40
Perplexity = 180.16, Entropy = 7.49 bits,docLen = 57
Perplexity = 112.97, Entropy = 6.82 bits,docLen = 36
Perplexity = 11.45, Entropy = 3.52 bits,docLen = 18
Perplexity = 105.45, Entropy = 6.72 bits,docLen = 19
Perplexity = 178.42, Entropy = 7.48 bits,docLen = 65
