Perplexity = 111.80, Entropy = 6.80 bits,docLen = 1262
Perplexity = 104.24, Entropy = 6.70 bits,docLen = 1505
Perplexity = 123.75, Entropy = 6.95 bits,docLen = 540
Perplexity = 93.67, Entropy = 6.55 bits,docLen = 625
Perplexity = 189.97, Entropy = 7.57 bits,docLen = 398
Perplexity = 138.10, Entropy = 7.11 bits,docLen = 890
Perplexity = 412.82, Entropy = 8.69 bits,docLen = 287
Perplexity = 101.42, Entropy = 6.66 bits,docLen = 611
Perplexity = 210.52, Entropy = 7.72 bits,docLen = 504
Perplexity = 122.56, Entropy = 6.94 bits,docLen = 314
Perplexity = 122.97, Entropy = 6.94 bits,docLen = 304
Perplexity = 182.41, Entropy = 7.51 bits,docLen = 304
Perplexity = 87.92, Entropy = 6.46 bits,docLen = 300
Perplexity = 158.25, Entropy = 7.31 bits,docLen = 464
Perplexity = 170.90, Entropy = 7.42 bits,docLen = 475
Perplexity = 146.77, Entropy = 7.20 bits,docLen = 497
Perplexity = 219.04, Entropy = 7.78 bits,docLen = 367
Perplexity = 147.25, Entropy = 7.20 bits,docLen = 673
Perplexity = 101.07, Entropy = 6.66 bits,docLen = 412
Perplexity = 151.83, Entropy = 7.25 bits,docLen = 527
Perplexity = 119.30, Entropy = 6.90 bits,docLen = 352
Perplexity = 197.12, Entropy = 7.62 bits,docLen = 465
Perplexity = 185.22, Entropy = 7.53 bits,docLen = 361
Perplexity = 216.45, Entropy = 7.76 bits,docLen = 357
Perplexity = 127.25, Entropy = 6.99 bits,docLen = 566
Perplexity = 198.04, Entropy = 7.63 bits,docLen = 380
Perplexity = 221.53, Entropy = 7.79 bits,docLen = 1532
Perplexity = 254.86, Entropy = 7.99 bits,docLen = 393
Perplexity = 139.73, Entropy = 7.13 bits,docLen = 1399
Perplexity = 206.86, Entropy = 7.69 bits,docLen = 319
Perplexity = 125.15, Entropy = 6.97 bits,docLen = 478
Perplexity = 162.20, Entropy = 7.34 bits,docLen = 441
Perplexity = 178.23, Entropy = 7.48 bits,docLen = 477
Perplexity = 250.84, Entropy = 7.97 bits,docLen = 444
Perplexity = 122.26, Entropy = 6.93 bits,docLen = 305
Perplexity = 152.33, Entropy = 7.25 bits,docLen = 379
Perplexity = 145.42, Entropy = 7.18 bits,docLen = 1011
Perplexity = 128.27, Entropy = 7.00 bits,docLen = 569
Perplexity = 194.51, Entropy = 7.60 bits,docLen = 412
Perplexity = 128.44, Entropy = 7.00 bits,docLen = 2660
Perplexity = 72.72, Entropy = 6.18 bits,docLen = 406
Perplexity = 117.17, Entropy = 6.87 bits,docLen = 971
Perplexity = 131.23, Entropy = 7.04 bits,docLen = 550
Perplexity = 132.94, Entropy = 7.05 bits,docLen = 451
Perplexity = 165.72, Entropy = 7.37 bits,docLen = 494
Perplexity = 172.81, Entropy = 7.43 bits,docLen = 465
Perplexity = 230.06, Entropy = 7.85 bits,docLen = 403
Perplexity = 131.89, Entropy = 7.04 bits,docLen = 2684
Perplexity = 269.30, Entropy = 8.07 bits,docLen = 373
Perplexity = 112.55, Entropy = 6.81 bits,docLen = 364
Perplexity = 134.33, Entropy = 7.07 bits,docLen = 524
Perplexity = 221.89, Entropy = 7.79 bits,docLen = 1121
Perplexity = 117.82, Entropy = 6.88 bits,docLen = 362
Perplexity = 164.15, Entropy = 7.36 bits,docLen = 481
Perplexity = 220.35, Entropy = 7.78 bits,docLen = 1084
Perplexity = 92.68, Entropy = 6.53 bits,docLen = 534
Perplexity = 166.81, Entropy = 7.38 bits,docLen = 905
Perplexity = 104.74, Entropy = 6.71 bits,docLen = 1543
Perplexity = 122.80, Entropy = 6.94 bits,docLen = 383
Perplexity = 96.41, Entropy = 6.59 bits,docLen = 208
Perplexity = 121.21, Entropy = 6.92 bits,docLen = 334
Perplexity = 145.48, Entropy = 7.18 bits,docLen = 491
Perplexity = 166.82, Entropy = 7.38 bits,docLen = 1293
Perplexity = 193.21, Entropy = 7.59 bits,docLen = 990
Perplexity = 139.09, Entropy = 7.12 bits,docLen = 4216
Perplexity = 135.59, Entropy = 7.08 bits,docLen = 629
Perplexity = 112.77, Entropy = 6.82 bits,docLen = 477
Perplexity = 219.55, Entropy = 7.78 bits,docLen = 454
Perplexity = 158.83, Entropy = 7.31 bits,docLen = 1120
Perplexity = 139.77, Entropy = 7.13 bits,docLen = 383
Perplexity = 123.87, Entropy = 6.95 bits,docLen = 960
Perplexity = 135.54, Entropy = 7.08 bits,docLen = 550
Perplexity = 145.13, Entropy = 7.18 bits,docLen = 1308
Perplexity = 146.75, Entropy = 7.20 bits,docLen = 513
Perplexity = 170.24, Entropy = 7.41 bits,docLen = 823
Perplexity = 128.25, Entropy = 7.00 bits,docLen = 1194
Perplexity = 106.73, Entropy = 6.74 bits,docLen = 1382
Perplexity = 147.99, Entropy = 7.21 bits,docLen = 288
Perplexity = 129.25, Entropy = 7.01 bits,docLen = 1118
Perplexity = 177.24, Entropy = 7.47 bits,docLen = 1073
Perplexity = 202.89, Entropy = 7.66 bits,docLen = 370
Perplexity = 128.85, Entropy = 7.01 bits,docLen = 4050
Perplexity = 125.01, Entropy = 6.97 bits,docLen = 471
Perplexity = 112.53, Entropy = 6.81 bits,docLen = 432
Perplexity = 171.72, Entropy = 7.42 bits,docLen = 399
Perplexity = 135.62, Entropy = 7.08 bits,docLen = 1219
Perplexity = 151.44, Entropy = 7.24 bits,docLen = 289
Perplexity = 230.54, Entropy = 7.85 bits,docLen = 632
Perplexity = 110.78, Entropy = 6.79 bits,docLen = 1499
Perplexity = 173.08, Entropy = 7.44 bits,docLen = 391
Perplexity = 166.44, Entropy = 7.38 bits,docLen = 520
Perplexity = 127.33, Entropy = 6.99 bits,docLen = 342
Perplexity = 141.87, Entropy = 7.15 bits,docLen = 1029
Perplexity = 158.61, Entropy = 7.31 bits,docLen = 686
Perplexity = 109.50, Entropy = 6.77 bits,docLen = 1290
Perplexity = 122.04, Entropy = 6.93 bits,docLen = 500
Perplexity = 125.16, Entropy = 6.97 bits,docLen = 397
