Perplexity = 667.72, Entropy = 9.38 bits,docLen = 28
Perplexity = 79.06, Entropy = 6.30 bits,docLen = 27
Perplexity = 24.76, Entropy = 4.63 bits,docLen = 16
Perplexity = 102.09, Entropy = 6.67 bits,docLen = 24
Perplexity = 220.94, Entropy = 7.79 bits,docLen = 19
Perplexity = 530.50, Entropy = 9.05 bits,docLen = 8
Perplexity = 637.45, Entropy = 9.32 bits,docLen = 9
Perplexity = 169.82, Entropy = 7.41 bits,docLen = 26
Perplexity = 415.07, Entropy = 8.70 bits,docLen = 17
Perplexity = 111.25, Entropy = 6.80 bits,docLen = 12
Perplexity = 35.96, Entropy = 5.17 bits,docLen = 8
Perplexity = 69.89, Entropy = 6.13 bits,docLen = 47
Perplexity = 47.49, Entropy = 5.57 bits,docLen = 27
Perplexity = 67.65, Entropy = 6.08 bits,docLen = 31
Perplexity = 83.35, Entropy = 6.38 bits,docLen = 23
Perplexity = 56.16, Entropy = 5.81 bits,docLen = 4
Perplexity = 161.88, Entropy = 7.34 bits,docLen = 22
Perplexity = 62.29, Entropy = 5.96 bits,docLen = 12
Perplexity = 82.79, Entropy = 6.37 bits,docLen = 24
Perplexity = 73.30, Entropy = 6.20 bits,docLen = 52
Perplexity = 100.39, Entropy = 6.65 bits,docLen = 19
Perplexity = 197.49, Entropy = 7.63 bits,docLen = 13
Perplexity = 254.30, Entropy = 7.99 bits,docLen = 30
Perplexity = 259.36, Entropy = 8.02 bits,docLen = 11
Perplexity = 95.37, Entropy = 6.58 bits,docLen = 23
Perplexity = 144.37, Entropy = 7.17 bits,docLen = 35
Perplexity = 34.30, Entropy = 5.10 bits,docLen = 25
Perplexity = 91.98, Entropy = 6.52 bits,docLen = 10
Perplexity = 88.87, Entropy = 6.47 bits,docLen = 30
Perplexity = 95.82, Entropy = 6.58 bits,docLen = 26
Perplexity = 35.68, Entropy = 5.16 bits,docLen = 12
Perplexity = 519.78, Entropy = 9.02 bits,docLen = 16
Perplexity = 76.12, Entropy = 6.25 bits,docLen = 20
Perplexity = 76.38, Entropy = 6.26 bits,docLen = 18
Perplexity = 102.13, Entropy = 6.67 bits,docLen = 31
Perplexity = 203.93, Entropy = 7.67 bits,docLen = 77
Perplexity = 101.42, Entropy = 6.66 bits,docLen = 25
Perplexity = 79.31, Entropy = 6.31 bits,docLen = 14
Perplexity = 10.01, Entropy = 3.32 bits,docLen = 22
Perplexity = 82.35, Entropy = 6.36 bits,docLen = 22
Perplexity = 47.39, Entropy = 5.57 bits,docLen = 32
Perplexity = 88.59, Entropy = 6.47 bits,docLen = 19
Perplexity = 53.38, Entropy = 5.74 bits,docLen = 48
Perplexity = 306.66, Entropy = 8.26 bits,docLen = 39
Perplexity = 62.59, Entropy = 5.97 bits,docLen = 59
Perplexity = 560.08, Entropy = 9.13 bits,docLen = 23
Perplexity = 233.75, Entropy = 7.87 bits,docLen = 63
Perplexity = 155.17, Entropy = 7.28 bits,docLen = 59
Perplexity = 281.25, Entropy = 8.14 bits,docLen = 35
Perplexity = 204.29, Entropy = 7.67 bits,docLen = 76
Perplexity = 77.99, Entropy = 6.29 bits,docLen = 32
Perplexity = 262.28, Entropy = 8.03 bits,docLen = 22
Perplexity = 70.95, Entropy = 6.15 bits,docLen = 52
Perplexity = 126.96, Entropy = 6.99 bits,docLen = 50
Perplexity = 75.89, Entropy = 6.25 bits,docLen = 44
Perplexity = 274.32, Entropy = 8.10 bits,docLen = 40
Perplexity = 103.56, Entropy = 6.69 bits,docLen = 44
Perplexity = 258.69, Entropy = 8.02 bits,docLen = 16
Perplexity = 633.40, Entropy = 9.31 bits,docLen = 39
